score,tier,action,reason,outreach,breakdown,permit_id,address,project_type,estimated_value,description,contractor_name,issue_date,category,work_type,source,city,актуальность,needs_email,email,contact_name,stage
92,Hot,Call today,"commercial project, large budget $18.5M, new construction","Hi Pg Arnold Construction,

We saw your project at 1565 N Colorado Blvd, Denver, CO and wanted to introduce Zement Stone. We're a local Colorado manufacturer of architectural stone veneer — 2,000+ PSI strength, 100% honest square footage coverage, custom colors, and fast lead times since we produce right here in Littleton.

Happy to send a free sample kit or meet at our showroom.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$18,535,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0000596,"1565 N Colorado Blvd, Denver, CO",Commercial,18535000,Phased Construction — City Park neighborhood,Pg Arnold Construction,2026-04-09,commercial,New Construction,"Denver, CO",Denver,Very High,True,,,
92,Hot,Call today,"commercial project, large budget $29.5M, new construction, hotel — high stone demand","Hi Burns & Mcdonnell Engineering Company Inc,

We noticed your project at 11110 N Queensburg ST, Denver, CO and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$29,500,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0002625,"11110 N Queensburg ST, Denver, CO",Commercial,29500000,New Building — DIA neighborhood,Burns & Mcdonnell Engineering Company Inc,2026-03-09,hotel,New Construction,"Denver, CO",Denver,High,True,,,
92,Hot,Call today,"commercial project, large budget $15.0M, new construction, multifamily — high volume","Hi Pinkard Construction Co,

We came across your project at 1785 N Franklin, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$14,985,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2024-COMMCON-0002451,"1785 N Franklin, Denver, CO",Commercial,14985000,"New Building — City Park West neighborhood, 70.0 units",Pinkard Construction Co,2026-01-22,multifamily,New Construction,"Denver, CO",Denver,High,True,,,
92,Hot,Call today,"commercial project, large budget $14.7M, new construction, multifamily — high volume","Hi I-Kota Llc,

We came across your project at 2355 E Ohio AVE, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$14,686,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2024-COMMCON-0000667,"2355 E Ohio AVE, Denver, CO",Commercial,14686000,"New Building — Belcaro neighborhood, 46.0 units",I-Kota Llc,2025-10-06,multifamily,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $14.0M, new construction, hotel — high stone demand","Hi Roche Constructors Inc,

We noticed your project at 18191 E 56th Ave, Denver, CO and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$14,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2024-COMMCON-0001584,"18191 E 56th Ave, Denver, CO",Commercial,14000000,New Building — DIA neighborhood,Roche Constructors Inc,2025-10-06,hotel,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $13.5M, new construction, multifamily — high volume","Hi Alliance Construction Solutions Llc,

We came across your project at 2980 S Pancratia St, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$13,511,411"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0001272,"2980 S Pancratia St, Denver, CO",Commercial,13511411,"New Building — Harvey Park South neighborhood, 100.0 units",Alliance Construction Solutions Llc,2025-10-28,multifamily,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $13.2M, new construction, multifamily — high volume","Hi Alliance Construction Solutions Llc,

We came across your project at 5601 N Chester Way, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$13,214,797"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0001092,"5601 N Chester Way, Denver, CO",Commercial,13214797,"New Building — Central Park neighborhood, 64.0 units",Alliance Construction Solutions Llc,2025-09-04,multifamily,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $13.2M, new construction, hotel — high stone demand","Hi Carmel Construction Colorado Llc,

We noticed your project at 3300 Blake ST, Denver, CO and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$13,160,152"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2022-COMMCON-0002798,"3300 Blake ST, Denver, CO",Commercial,13160152,New Building — Five Points neighborhood,Carmel Construction Colorado Llc,2026-02-18,hotel,New Construction,"Denver, CO",Denver,High,True,,,
92,Hot,Call today,"commercial project, large budget $11.8M, new construction, multifamily — high volume","Hi E Gilbert & Son'S Inc,

We came across your project at 19151 E 56th AVE, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$11,803,804"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2023-COMMCON-0000590,"19151 E 56th AVE, Denver, CO",Commercial,11803804,"New Building — DIA neighborhood, 205.0 units",E Gilbert & Son'S Inc,2026-03-13,multifamily,New Construction,"Denver, CO",Denver,High,True,,,
92,Hot,Call today,"commercial project, large budget $10.9M, new construction, hotel — high stone demand","Hi Mark Young Construction Llc,

We noticed your project at 17401 E 56th AVE, Denver, CO and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$10,897,121"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0000377,"17401 E 56th AVE, Denver, CO",Commercial,10897121,New Building — DIA neighborhood,Mark Young Construction Llc,2026-02-27,hotel,New Construction,"Denver, CO",Denver,High,True,,,
